species;treatment;treatment number;fruit_set;seed_set
CAAN;BRRA 50%;8;1;25
CAAN;BRRA 50%;9;1;27
CAAN;BRRA 50%;10;0;0
CAAN;BRRA 100%;1;0;0
CAAN;BRRA 100%;2;0;0
CAAN;BRRA 100%;3;0;0
CAAN;BRRA 100%;4;0;0
CAAN;BRRA 100%;5;0;0
CAAN;BRRA 100%;6;0;0
CAAN;BRRA 100%;7;1;0
CAAN;BRRA 100%;8;0;0
CAAN;BRRA 100%;9;0;0
CAAN;BRRA 100%;10;0;0
CAAN;SIAL 50%;1;1;289
CAAN;SIAL 50%;2;0;0
CAAN;SIAL 50%;3;0;0
CAAN;SIAL 50%;4;0;0
CAAN;SIAL 50%;5;0;0
CAAN;SIAL 50%;6;0;0
CAAN;SIAL 50%;7;0;0
CAAN;SIAL 50%;8;0;0
CAAN;SIAL 50%;9;0;0
CAAN;SIAL 50%;10;1;48
CAAN;SIAL 100%;1;1;127
CAAN;SIAL 100%;2;0;0
CAAN;SIAL 100%;3;0;0
CAAN;SIAL 100%;4;0;0
CAAN;SIAL 100%;5;0;0
CAAN;SIAL 100%;6;0;0
CAAN;SIAL 100%;7;0;0
CAAN;SIAL 100%;8;0;0
CAAN;SIAL 100%;9;0;0
CAAN;SIAL 100%;10;0;0
CAAN;IPAQ 50%;1;1;30
CAAN;IPAQ 50%;2;1;24
CAAN;IPAQ 50%;3;1;9
CAAN;IPAQ 50%;4;1;86
CAAN;IPAQ 50%;5;1;85
CAAN;IPAQ 50%;6;1;9
CAAN;IPAQ 50%;7;1;94
CAAN;IPAQ 50%;8;1;10
CAAN;IPAQ 50%;9;1;4
CAAN;IPAQ 50%;10;1;33
CAAN;IPAQ 100%;1;0;0
CAAN;IPAQ 100%;2;0;0
CAAN;IPAQ 100%;3;0;0
CAAN;IPAQ 100%;4;0;0
CAAN;IPAQ 100%;5;0;0
CAAN;IPAQ 100%;6;0;0
CAAN;IPAQ 100%;7;0;0
CAAN;IPAQ 100%;8;0;0
CAAN;IPAQ 100%;9;0;0
CAAN;IPAQ 100%;10;0;0
CAAN;IPPU 50%;1;0;0
CAAN;IPPU 50%;2;1;0
CAAN;IPPU 50%;3;1;18
CAAN;IPPU 50%;4;0;0
CAAN;IPPU 50%;5;0;0
CAAN;IPPU 50%;6;1;0
CAAN;IPPU 50%;7;1;3
CAAN;IPPU 50%;8;0;0
CAAN;IPPU 50%;9;0;0
CAAN;IPPU 50%;10;1;4
CAAN;IPPU 100%;1;0;0
CAAN;IPPU 100%;2;0;0
CAAN;IPPU 100%;3;0;0
CAAN;IPPU 100%;4;1;0
CAAN;IPPU 100%;5;0;0
CAAN;IPPU 100%;6;0;0
CAAN;IPPU 100%;7;0;0
CAAN;IPPU 100%;8;0;0
CAAN;IPPU 100%;9;0;0
CAAN;IPPU 100%;10;0;0
CAAN;ERSA 50%;1;1;167
CAAN;ERSA 50%;2;1;29
CAAN;ERSA 50%;3;1;132
CAAN;ERSA 50%;4;1;201
CAAN;ERSA 50%;5;1;239
CAAN;ERSA 50%;6;1;118
CAAN;ERSA 50%;7;1;0
CAAN;ERSA 50%;8;1;14
CAAN;ERSA 50%;9;1;153
CAAN;ERSA 50%;10;1;17
CAAN;ERSA 100%;1;0;0
CAAN;ERSA 100%;2;0;0
CAAN;ERSA 100%;3;0;0
CAAN;ERSA 100%;4;0;0
CAAN;ERSA 100%;5;0;0
CAAN;ERSA 100%;6;1;0
CAAN;ERSA 100%;7;0;0
CAAN;ERSA 100%;8;1;3
CAAN;ERSA 100%;9;0;0
CAAN;ERSA 100%;10;0;0
